11.30-1.6-1.7
Integration time [ms]:  45.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 2
Data measured with spectrometer [name]: 0905077U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

    248;       46;       37;        0
    248;       48;       36;        0
    248;       30;       47;        0
    248;       33;       70;        0
    248;       37;       62;        0
    248;       44;       52;        0
    249;       55;       37;        0
    249;       75;       30;        0
    249;       82;        7;        0
    249;      102;        5;        0
    249;      105;        5;        0
    249;      108;       12;        0
    250;      104;       12;        0
    250;      107;       14;        0
    250;       81;       12;        0
    250;       62;       27;        0
    250;       46;       12;        0
    250;       42;       24;        0
    251;       41;       21;        0
    251;       48;       31;        0
    251;       51;       17;        0
    251;       53;       25;        0
    251;       60;       15;        0
    251;       58;       36;        0
    252;       57;       26;        0
    252;       48;       43;        0
    252;       53;       54;        0
    252;       55;       53;        0
    252;       62;       47;        0
    252;       58;       65;        0
    253;       65;       58;        0
    253;       56;       68;        0
    253;       55;       62;        0
    253;       43;       65;        0
    253;       55;       60;        0
    253;       56;       69;        0
    254;       64;       69;        0
    254;       46;      106;        0
    254;       45;      118;        0
    254;       26;      143;        0
    254;       17;      128;        0
    254;       10;      124;        0
    255;       20;      102;        0
    255;       22;       77;        0
    255;       34;       56;        0
    255;       39;       56;        0
    255;       40;       63;        0
    255;       36;       83;        0
    256;       54;       97;        0
    256;       38;      102;        0
    256;       40;       87;        0
    256;       49;       87;        0
    256;       66;       65;        0
    256;       57;       60;        0
    257;       69;       50;        0
    257;       78;       70;        0
    257;       81;       65;        0
    257;       71;       80;        0
    257;       68;       75;        0
    257;       60;      100;        0
    258;       70;       83;        0
    258;       55;       85;        0
    258;       38;       74;        0
    258;       40;       83;        0
    258;       54;       73;        0
    258;       37;       89;        0
    259;       56;       80;        0
    259;       67;       83;        0
    259;       61;       56;        0
    259;       65;       71;        0
    259;       88;       64;        0
    259;       56;       67;        0
    260;       67;       71;        0
    260;       63;      100;        0
    260;       55;       90;        0
    260;       49;       93;        0
    260;       64;       96;        0
    260;       55;       77;        0
    261;       67;       74;        0
    261;       65;       50;        0
    261;       37;       26;        0
    261;       33;       25;        0
    261;       43;       39;        0
    261;       34;       40;        0
    262;       42;       49;        0
