12-2uv
Integration time [ms]:  45.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 2
Data measured with spectrometer [name]: 0905077U1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

    248;       15;       37;        0
    248;       37;       36;        0
    248;       32;       47;        0
    248;       46;       70;        0
    248;       34;       62;        0
    248;       30;       52;        0
    249;       16;       37;        0
    249;       13;       30;        0
    249;        8;        7;        0
    249;       13;        5;        0
    249;       12;        5;        0
    249;       18;       12;        0
    250;       18;       12;        0
    250;       25;       14;        0
    250;       19;       12;        0
    250;       33;       27;        0
    250;       19;       12;        0
    250;       15;       24;        0
    251;        4;       21;        0
    251;       22;       31;        0
    251;        6;       17;        0
    251;       21;       25;        0
    251;       35;       15;        0
    251;       43;       36;        0
    252;       39;       26;        0
    252;       57;       43;        0
    252;       51;       54;        0
    252;       39;       53;        0
    252;       35;       47;        0
    252;       21;       65;        0
    253;        7;       58;        0
    253;       10;       68;        0
    253;       20;       62;        0
    253;       23;       65;        0
    253;       14;       60;        0
    253;        7;       69;        0
    254;       -2;       69;        0
    254;        3;      106;        0
    254;       -2;      118;        0
    254;        9;      143;        0
    254;       21;      128;        0
    254;       16;      124;        0
    255;       15;      102;        0
    255;       33;       77;        0
    255;       38;       56;        0
    255;       32;       56;        0
    255;       39;       63;        0
    255;       35;       83;        0
    256;        8;       97;        0
    256;       -5;      102;        0
    256;       -2;       87;        0
    256;        2;       87;        0
    256;      -13;       65;        0
    256;       14;       60;        0
    257;       15;       50;        0
    257;       24;       70;        0
    257;       21;       65;        0
    257;       39;       80;        0
    257;       35;       75;        0
    257;       35;      100;        0
    258;       32;       83;        0
    258;       32;       85;        0
    258;       25;       74;        0
    258;       17;       83;        0
    258;       14;       73;        0
    258;       16;       89;        0
    259;       23;       80;        0
    259;       15;       83;        0
    259;       28;       56;        0
    259;       35;       71;        0
    259;       30;       64;        0
    259;       30;       67;        0
    260;       29;       71;        0
    260;       30;      100;        0
    260;       22;       90;        0
    260;       39;       93;        0
    260;       34;       96;        0
    260;       36;       77;        0
    261;       11;       74;        0
    261;       22;       50;        0
    261;       11;       26;        0
    261;        3;       25;        0
    261;        6;       39;        0
    261;       22;       40;        0
    262;       20;       49;        0
