index,hour,minute,UVA+UVB,AOD,RD
2025-02-17,11,50,49.053799999999995,0.782,10.233
2025-02-17,11,51,49.8738,0.743,9.613
2025-02-17,12,8,53.413000000000004,0.626,10.13
2025-02-17,12,23,54.2785,0.626,9.654
2025-02-17,12,31,54.634899999999995,0.626,10.374
2025-02-17,12,43,54.2422,0.665,9.58
2025-02-17,12,45,55.8527,0.587,9.515
2025-02-17,12,55,55.2353,0.626,10.471
2025-02-17,13,13,55.2352,0.626,9.377
2025-02-17,13,30,55.659000000000006,0.587,10.216
2025-02-17,13,46,55.7768,0.548,10.449
2025-02-17,14,0,54.172000000000004,0.587,9.438
2025-02-17,14,17,53.6281,0.548,10.573
2025-02-17,14,30,53.175700000000006,0.509,9.641
2025-02-17,14,46,51.4054,0.509,10.549
2025-02-17,15,0,48.9079,0.548,9.905
2025-02-17,15,10,46.8185,0.587,10.161
2025-02-17,15,30,43.8633,0.587,9.658
2025-02-18,10,15,26.7955,1.524,9.369
2025-02-18,10,30,33.3258,1.173,9.265
2025-02-18,10,45,37.1077,1.055,10.769
2025-02-18,11,0,39.6501,1.016,10.139
2025-02-18,11,16,44.2046,0.86,10.511
2025-02-18,11,40,49.6056,0.704,10.235
2025-02-18,12,0,52.0629,0.665,9.606
2025-02-18,12,15,55.378,0.548,10.756
2025-02-18,12,30,56.1317,0.548,10.062
2025-02-18,12,45,56.62050000000001,0.548,9.943
2025-02-18,13,0,59.224799999999995,0.431,9.676
2025-02-18,13,15,59.1535,0.431,9.544
2025-02-18,13,30,59.6073,0.392,10.384
2025-02-18,13,45,58.9855,0.392,9.232
2025-02-18,14,0,57.2789,0.431,10.152
2025-02-18,14,15,55.3384,0.47,10.677
2025-02-18,14,26,54.320600000000006,0.47,10.858
2025-03-20,10,45,30.450899999999997,1.524,10.731
2025-03-20,11,3,30.851799999999997,1.641,10.185
2025-03-20,11,30,33.3045,1.641,9.195
2025-03-20,12,30,44.326499999999996,1.173,10.816
2025-03-20,13,2,46.3223,1.095,10.291
2025-03-20,13,30,45.2582,1.134,10.386
2025-03-20,13,56,44.1707,1.134,10.427
2025-04-02,10,0,12.184819999999998,3.125,10.771
2025-04-02,10,32,18.255100000000002,2.579,10.637
2025-04-02,12,0,29.1644,2.11,10.054
2025-04-02,12,30,31.321299999999997,2.032,9.899
2025-04-02,13,0,32.829299999999996,1.954,9.431
2025-04-02,13,30,35.274699999999996,1.759,10.233
2025-04-02,14,0,33.086600000000004,1.837,10.289
2025-04-02,15,0,22.0453,2.462,10.227
2025-04-02,16,40,5.4592,4.453,9.184
2025-04-03,11,26,32.968399999999995,1.641,9.895
2025-04-03,12,0,37.7361,1.485,10.989
2025-04-03,12,30,39.763799999999996,1.446,10.455
2025-04-03,13,0,40.9593,1.407,10.701
2025-04-03,13,30,40.6241,1.407,9.795
2025-04-03,14,0,37.57640000000001,1.524,10.519
2025-04-03,14,30,33.9112,1.641,9.391
2025-04-04,9,57,12.169979999999999,3.086,10.636
2025-04-04,10,34,20.7468,2.306,9.194
2025-04-04,11,10,25.8283,2.11,9.908
